Tabellenplatz,club,Sieg,Unentschieden,Verloren,Tore,Differenz,Punkte 
1,FC Bayern München,24,6,4,88:32,56,78
2,Borussia Dortmund,23,7,4,81:44,37,76
3,RB Leipzig,19,9,6,63:29,34,66
4,Bayer 04 Leverkusen,18,4,12,69:52,17,58
5,Borussia Mönchengladbach,16,7,11,55:42,13,55
6,VfL Wolfsburg,16,7,11,62:50,12,55
7,Eintracht Frankfurt,15,9,10,60:48,12,54
8,SV Werder Bremen,14,11,9,58:49,9,53
9,TSG 1899 Hoffenheim,13,12,9,70:52,18,51
10,Fortuna Düsseldorf,13,5,16,49:65,-16,44
11,Hertha BSC,11,10,13,49:57,-8,43
12,1. FSV Mainz 05,12,7,15,46:57,-11,43
13,SC Freiburg,8,12,14,46:61,-15,36
14,FC Schalke 04,34,8,9,17,37:55,-18,33
15,FC Augsburg,8,8,18,51:71,-20,32
16,VfB Stuttgart,7,7,20,32:70,-38,28
17,Hannover 96,5,6,23,31:71,-40,21
18,1. FC Nürnberg,3,10,21,26:68,-42,19